Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,Gender,Grades,Sleep_Group,Total_Active_Hours,Social_Share,Study_to_Sleep_Ratio,Physical_to_Study_Ratio,Lifestyle_Balance,Lifestyle_Balance_Score
1,6.9,3.8,8.7,2.8,1.8,Moderate,Male,7.48,>= 7 hours,15.3,0.1830065359477124,0.7931034482758622,0.2608695652173913,2.2066188313042803,0.31185496393821577
2,5.3,3.5,8.0,4.2,3.0,Low,Female,6.88,>= 7 hours,16.0,0.2625,0.6625,0.5660377358490566,0.9966610925150702,0.500836122739469
3,5.1,3.9,9.2,1.2,4.6,Low,Male,6.68,>= 7 hours,14.799999999999999,0.08108108108108109,0.5543478260869565,0.9019607843137255,1.7378147196982767,0.3652548117318201
4,6.5,2.1,7.2,1.7,6.5,Moderate,Male,7.2,>= 7 hours,16.799999999999997,0.1011904761904762,0.9027777777777778,1.0,2.660826939130014,0.27316232551480496
5,8.1,0.6,6.5,2.2,6.6,High,Male,8.78,< 7 hours,17.5,0.12571428571428572,1.2461538461538462,0.8148148148148148,3.55,0.21978021978021978
6,6.0,2.1,8.0,0.3,7.6,Moderate,Female,7.12,>= 7 hours,16.0,0.01875,0.75,1.2666666666666666,3.37934904974316,0.22834443855500577
7,8.0,0.7,5.3,5.7,4.3,High,Male,7.7,< 7 hours,18.7,0.3048128342245989,1.509433962264151,0.5375,3.0576407026769292,0.24644863192058244
8,8.4,1.8,5.6,3.0,5.2,High,Male,8.0,< 7 hours,18.400000000000002,0.16304347826086954,1.5000000000000002,0.6190476190476191,2.898275349237888,0.2565236958429578
9,5.2,3.6,6.3,4.0,4.9,Low,Male,7.05,< 7 hours,17.700000000000003,0.22598870056497172,0.8253968253968255,0.9423076923076923,0.7500000000000001,0.5714285714285714
10,7.7,0.7,9.8,4.5,1.3,Moderate,Female,6.9,>= 7 hours,14.200000000000001,0.3169014084507042,0.7857142857142857,0.16883116883116883,3.230583022716901,0.23637403984990113
11,9.7,3.6,8.0,2.5,0.2,High,Male,8.57,>= 7 hours,15.999999999999998,0.15625000000000003,1.2125,0.02061855670103093,4.055449009254914,0.19780636658965783
12,6.9,1.1,9.1,2.1,4.8,Moderate,Male,7.42,>= 7 hours,14.899999999999999,0.14093959731543626,0.7582417582417583,0.6956521739130435,2.631064423384574,0.27540133784458826
13,6.4,2.2,5.7,4.8,4.9,High,Male,7.05,< 7 hours,18.300000000000004,0.262295081967213,1.1228070175438596,0.765625,1.744276354251241,0.3643947878831044
14,5.0,3.3,8.5,4.4,2.8,Low,Male,7.18,>= 7 hours,15.5,0.2838709677419355,0.5882352941176471,0.5599999999999999,1.0045728777279759,0.4988593885064535
15,8.9,0.3,6.8,0.7,7.3,High,Female,8.5,< 7 hours,17.2,0.04069767441860465,1.3088235294117647,0.8202247191011235,4.439219150556398,0.18384991895347813
16,6.7,0.3,6.6,2.0,8.4,Moderate,Male,8.0,< 7 hours,17.4,0.1149425287356322,1.0151515151515151,1.2537313432835822,3.823174945861969,0.20733230936562802
17,8.6,2.6,9.4,1.6,1.8,High,Female,8.4,>= 7 hours,14.6,0.10958904109589042,0.9148936170212765,0.20930232558139536,3.32816265628149,0.23104492123203677
18,8.8,2.2,8.9,2.0,2.1,High,Female,7.98,>= 7 hours,15.1,0.13245033112582782,0.9887640449438203,0.23863636363636362,3.3509948771471834,0.22983249308159837
19,7.6,1.7,5.1,0.6,9.0,High,Female,7.9,< 7 hours,18.9,0.031746031746031744,1.4901960784313726,1.1842105263157896,4.191558978073274,0.19262036783623843
20,6.6,2.0,9.5,1.5,4.4,Moderate,Male,7.32,>= 7 hours,14.5,0.10344827586206896,0.6947368421052631,0.6666666666666667,2.352835169180649,0.2982550437289691
21,7.1,3.0,6.1,0.5,7.3,Moderate,Female,7.25,< 7 hours,17.9,0.02793296089385475,1.1639344262295082,1.028169014084507,3.308952502933015,0.23207496469717886
22,9.6,3.2,8.2,2.6,0.4,High,Male,8.35,>= 7 hours,15.8,0.16455696202531644,1.1707317073170733,0.04166666666666667,3.9543225294184925,0.20184394416432427
23,9.0,0.7,9.5,2.6,2.2,High,Female,8.02,>= 7 hours,14.5,0.1793103448275862,0.9473684210526315,0.24444444444444446,3.675481827824301,0.21388169964620357
24,6.1,1.7,9.1,5.2,1.9,Moderate,Female,7.12,>= 7 hours,14.9,0.348993288590604,0.6703296703296703,0.3114754098360656,2.254440063519099,0.3072725201516471
25,5.0,2.0,7.1,1.3,8.6,Low,Female,6.7,>= 7 hours,16.9,0.07692307692307693,0.7042253521126761,1.72,3.3290389003434613,0.2309981552535047
26,9.7,1.3,7.6,3.8,1.6,High,Female,8.22,>= 7 hours,16.400000000000002,0.2317073170731707,1.276315789473684,0.16494845360824745,3.896151947755631,0.20424202734524904
27,6.8,3.9,9.8,0.9,2.6,Moderate,Female,6.6,>= 7 hours,14.2,0.06338028169014084,0.693877551020408,0.3823529411764706,2.4906491790963523,0.286479662862848
28,6.4,0.1,8.0,3.0,6.5,Moderate,Female,7.38,>= 7 hours,16.0,0.1875,0.8,1.015625,3.0670289641062514,0.24587973403325752
